id,domain,portal_system,portal_subdomain,confidence,detection_method,validated,validation_website,error,timestamp,created_at,updated_at
1,blupropertiesinc.com,doorloop,bhsrentals.app.doorloop.com,high,homepage_fetch,0,,,2026-02-11T07:01:28.271860,2026-02-24 07:00:50,2026-02-24 07:00:50
2,blvdmg.com,appfolio,,high,homepage_fetch,0,,,2026-02-11T07:01:28.272683,2026-02-24 07:00:50,2026-02-24 07:00:50
3,bmcmadison.com,appfolio,broihahn.appfolio.com,low,homepage_fetch,0,,,2026-02-11T07:01:28.708028,2026-02-24 07:00:50,2026-02-24 07:00:50
4,bluffcitymanagement.com,propertyware,app.propertyware.com,high,homepage_fetch,0,,,2026-02-11T07:01:28.271430,2026-02-24 07:00:50,2026-02-24 07:00:50
5,bmequities.com,townsq,,high,homepage_fetch,0,,,2026-02-11T07:01:31.310300,2026-02-24 07:00:50,2026-02-24 07:00:50
6,bmgapts.com,yardi,,high,homepage_fetch,0,,,2026-02-11T07:01:32.063221,2026-02-24 07:00:50,2026-02-24 07:00:50
7,bmgatlanta.com,appfolio,bmgatlanta.appfolio.com,low,homepage_fetch,0,,,2026-02-11T07:01:33.382620,2026-02-24 07:00:50,2026-02-24 07:00:50
8,bmgboston.com,appfolio,baymanagementgrouplaurel.appfolio.com,high,link_redirect:followed_link:owner portal,0,,,2026-02-11T07:01:38.589642,2026-02-24 07:00:50,2026-02-24 07:00:50
9,bmgmnrentals.com,appfolio,,high,homepage_fetch,0,,,2026-02-11T07:02:20.465156,2026-02-24 07:00:50,2026-02-24 07:00:50
10,bmgrents.com,appfolio,,high,homepage_fetch,0,,,2026-02-11T07:02:20.904379,2026-02-24 07:00:50,2026-02-24 07:00:50
11,bmapropertymanagement.com,unknown,,low,not_found,0,,,2026-02-11T07:01:28.275321,2026-02-24 07:00:50,2026-02-24 07:00:50
12,bmcmanagementllc.com,unknown,,low,not_found,0,,,2026-02-11T07:01:28.712122,2026-02-24 07:00:50,2026-02-24 07:00:50
13,bmocinc.com,prospectportal,bmocinc.prospectportal.com,high,homepage_fetch,0,,,2026-02-11T07:02:25.716101,2026-02-24 07:00:50,2026-02-24 07:00:50
14,bmrmanagement.us,appfolio,,high,homepage_fetch,0,,,2026-02-11T07:02:25.774467,2026-02-24 07:00:50,2026-02-24 07:00:50
15,bnblouisville.com,ownerrez,,high,homepage_fetch,0,,,2026-02-11T07:02:26.264901,2026-02-24 07:00:50,2026-02-24 07:00:50
16,bmcproperties.com,yardi,resource.rentcafe.com,high,playwright_homepage,0,,,2026-02-11T07:01:29.859464,2026-02-24 07:00:50,2026-02-24 07:00:50
17,bmirents.com,unknown,,low,not_found,0,,,2026-02-11T07:02:21.268732,2026-02-24 07:00:50,2026-02-24 07:00:50
18,bnbmanagementco.com,unknown,,low,not_found,0,,,2026-02-11T07:02:26.409177,2026-02-24 07:00:50,2026-02-24 07:00:50
19,bnetmanagement.com,unknown,,low,not_found,0,,,2026-02-11T07:02:30.969880,2026-02-24 07:00:50,2026-02-24 07:00:50
20,bnrconcierge.com,unknown,,low,not_found,0,,,2026-02-11T07:02:43.624002,2026-02-24 07:00:50,2026-02-24 07:00:50
21,boardwalk-rent.com,unknown,,low,not_found,0,,,2026-02-11T07:03:08.277637,2026-02-24 07:00:50,2026-02-24 07:00:50
22,boardwalkprops.com,unknown,,low,not_found,0,,,2026-02-11T07:03:22.387552,2026-02-24 07:00:50,2026-02-24 07:00:50
23,bobackcommercialgroup.com,unknown,,low,not_found,0,,,2026-02-11T07:03:24.753831,2026-02-24 07:00:50,2026-02-24 07:00:50
24,bobbyfletcherhomes.com,unknown,,low,not_found,0,,,2026-02-11T07:03:29.185772,2026-02-24 07:00:50,2026-02-24 07:00:50
25,bobharmanrealestate.com,unknown,,low,not_found,0,,,2026-02-11T07:04:10.249410,2026-02-24 07:00:50,2026-02-24 07:00:50
26,bocaratonrealtyandmanagement.com,unknown,,low,not_found,0,,,2026-02-11T07:04:13.337139,2026-02-24 07:00:50,2026-02-24 07:00:50
27,boise-propertymanagement.com,propertyware,app.propertyware.com,high,homepage_fetch,0,,,2026-02-11T07:05:06.591985,2026-02-24 07:00:50,2026-02-24 07:00:50
28,boiseapm.net,propertyware,app.propertyware.com,high,homepage_fetch,0,,,2026-02-11T07:05:07.115055,2026-02-24 07:00:50,2026-02-24 07:00:50
29,boiseproperty.management,rentvine,frpmrentals.rentvine.com,high,homepage_fetch,0,,,2026-02-11T07:05:07.273314,2026-02-24 07:00:50,2026-02-24 07:00:50
30,boisepropertymanagementinc.com,propertyware,app.propertyware.com,high,homepage_fetch,0,,,2026-02-11T07:05:07.873577,2026-02-24 07:00:50,2026-02-24 07:00:50
