name,doors_managed,website,state,city,profile_url
Evernest Property Management Birmingham,3000,https://birminghampropertymanagement.co,Alabama,"Birmingham, AL",https://propertymanagement.com/property-manager/evernest-property-management-birmingham-birmingham-al
Atlas Rental Property,2000,https://atlasrpm.com,Alabama,"Birmingham, AL",https://propertymanagement.com/property-manager/atlas-rental-property-birmingham-al
"Neighborhood Management, LLC",500,https://nhmllc.org,Alabama,"Birmingham, AL",https://propertymanagement.com/property-manager/neighborhood-management-llc-birmingham-al
"Continental Realty Management, Inc.",200,https://continentalrealtyteam.com,Alabama,"Birmingham, AL",https://propertymanagement.com/property-manager/continental-realty-management-inc-gardendale-al
Renters Warehouse,200,https://renterswarehouse.com,Alabama,"Birmingham, AL",https://propertymanagement.com/property-manager/renters-warehouse-pelham-al
Progress Residential,300,https://rentprogress.com,Alabama,"Birmingham, AL",https://propertymanagement.com/property-manager/progress-residential-birmingham-al
Associa McKay Management,300,https://mckaymanagement.com,Alabama,"Birmingham, AL",https://propertymanagement.com/property-manager/associa-mckay-management-birmingham-al
Freedom Ventures Property Management,300,https://freedomventurespm.com,Alabama,"Birmingham, AL",https://propertymanagement.com/property-manager/freedom-ventures-property-management-birmingham-al
Rising Tide Management,400,https://risingtidemanagement.net,Alabama,"Birmingham, AL",https://propertymanagement.com/property-manager/rising-tide-management-birmingham-al
Arlington Properties,200,https://arlingtonproperties.net,Alabama,"Birmingham, AL",https://propertymanagement.com/property-manager/arlington-properties-birmingham-al
Barrington Real Estate Co.,200,https://barringtonrealestateco.com,Alabama,"Birmingham, AL",https://propertymanagement.com/property-manager/barrington-real-estate-co-birmingham-al
"1st Choice Properties, llc",400,https://1stchoiceproperties.com,Alabama,"Birmingham, AL",https://propertymanagement.com/property-manager/1st-choice-properties-llc-birmingham-al
Real Property Management Victory,200,https://victoryrpm.com,Alabama,"Birmingham, AL",https://propertymanagement.com/property-manager/real-property-management-victory-birmingham-al
Red Rock Realty Group,300,https://redrockrg.com,Alabama,"Birmingham, AL",https://propertymanagement.com/property-manager/red-rock-realty-group-birmingham-al
Decas Group,300,https://decasrealty.com,Alabama,"Birmingham, AL",https://propertymanagement.com/property-manager/decas-group-birmingham-al
"Watts Realty Company, Inc.",200,https://wattsrealty.com,Alabama,"Birmingham, AL",https://propertymanagement.com/property-manager/watts-realty-company-inc-birmingham-al
Providian Real Estate Management INC.,200,https://providianinc.com,Alabama,"Birmingham, AL",https://propertymanagement.com/property-manager/providian-real-estate-management-inc-birmingham-al
