domain,portal_system,portal_subdomain,confidence,detection_method,validated,doors
101stpropertymanagement.com,unknown,,low,not_found,0,100
1030-properties.com,appfolio,tenthirtypmco.appfolio.com,high,homepage_fetch,1,100
10krealtypm.com,unknown,,low,cleared:false_positive_generic_subdomain,0,0
10starshomes.com,buildium,10starspropertymanagement.managebuilding.com,high,homepage_fetch,0,1000
10xpropertymanagers.com,appfolio,tenxperopertymanagement.appfolio.com,high,homepage_fetch,1,400
123rent.com,appfolio,bgaproperties.appfolio.com,high,homepage_fetch,1,300
160union.com,rentmanager,colrh.twa.rentmanager.com,high,homepage_fetch,0,100
1836propertymanagement.com,buildium,1836realty.managebuilding.com,high,homepage_fetch,0,1200
1904group.com,appfolio,,high,homepage_fetch,0,300
1cbm.com,unknown,,low,not_found,0,200
1southrentals.com,buildium,1southpropertymanagement.managebuilding.com,high,homepage_fetch,0,100
1stadvantagepm.com,rentecdirect,,high,homepage_fetch,0,100
1stchoicemanagers.com,buildium,1stchoicepm.managebuilding.com,high,homepage_fetch,0,200
1stchoicepmva.com,buildium,1stchoicepmva.managebuilding.com,high,homepage_fetch,0,100
1stchoiceproperties.com,buildium,1stchoiceproperties.managebuilding.com,high,homepage_fetch,0,400
1stclassproperties.com,appfolio,firstclassprop.appfolio.com,high,homepage_fetch,1,100
1sthousing.com,unknown,,low,not_found,0,100
1stplacepm.com,unknown,,low,not_found,0,100
1strealty.net,appfolio,firstrealtyresources.appfolio.com,high,homepage_fetch,1,200
1ststoppropertymanagement.com,unknown,,low,not_found,0,100
206pm.com,appfolio,,high,homepage_fetch,0,0
208.properties,buildium,208properties.managebuilding.com,high,homepage_fetch,0,300
208housespm.com,appfolio,houses208.appfolio.com,high,homepage_fetch,1,0
21alphagroup.com,unknown,,low,not_found,0,100
21stcenturypm.com,unknown,,low,not_found,0,300
24kproperties.com,unknown,,low,not_found,0,0
25thstreetproperties.com,buildium,25thstreetproperties.managebuilding.com,high,homepage_fetch,0,0
260propertymanagement.com,buildium,antrimgroup1.managebuilding.com,high,secondary_page:/for-rent,0,100
30montgomery.com,building_engines,,high,homepage_fetch,0,100
311pm.com,rentmanager,311prop.owa.rentmanager.com,high,homepage_fetch,0,100
323.apartments,unknown,,low,not_found,0,100
333rent.com,rentmanager,stewp.twa.rentmanager.com,high,homepage_fetch,0,600
334propertymanagement.com,appfolio,bmbpropertymanagement.appfolio.com,high,secondary_page:/tenants/,1,300
33pmg.com,buildium,33pmg.managebuilding.com,high,homepage_fetch,0,100
33realty.com,appfolio,evernestmfr.appfolio.com,low,homepage_fetch,0,800
35rsolutions.com,appfolio,intercentrainvestcorp.appfolio.com,high,homepage_fetch,1,0
360fargo.com,appfolio,,high,homepage_fetch,0,200
360managementservices.com,appfolio,threesixtymgmt.appfolio.com,high,homepage_fetch,1,200
360propertiesllc.com,appfolio,properties360.appfolio.com,high,homepage_fetch,1,100
360propertymgmt.com,buildium,360propertygroup.managebuilding.com,high,homepage_fetch,0,100
360realtymanagement.com,appfolio,threesixtyrealty.appfolio.com,high,homepage_fetch,1,400
365rpm.com,buildium,realpropertymanagement2.managebuilding.com,high,homepage_fetch,0,300
386rent.com,rentvine,everest-realty.rentvine.com,high,homepage_fetch,0,400
3cpropertymanagement.com,unknown,,low,not_found,0,100
3cre.com,unknown,,low,not_found,0,200
3epropertymgt.com,rentmanager,templates.rentmanager.com,high,homepage_fetch,0,400
3gpropertiesgroup.com,appfolio,pm3gpropertiesgroup.appfolio.com,high,homepage_fetch,1,200
3lmg.com,unknown,,low,not_found,0,200
3optionsrealty.com,appfolio,threeoptions.appfolio.com,high,homepage_fetch,1,0
3riversproperty.com,buildium,3riversproperty.managebuilding.com,high,homepage_fetch,0,0
3treerealty.com,unknown,,low,not_found,0,300
401water.com,unknown,,low,not_found,0,100
407rentals.com,appfolio,orlando.appfolio.com,high,homepage_fetch,1,300
40npm.com,unknown,,low,not_found,0,0
411rent.com,unknown,,low,not_found,0,200
443stop.com,appfolio,,high,homepage_fetch,0,200
448management.com,unknown,,low,not_found,0,100
480realtypm.com,unknown,,low,not_found,0,200
4abpm.com,unknown,,low,not_found,0,100
4aproperties.com,buildium,signin.managebuilding.com,high,homepage_fetch,0,100
4br2ba.com,propertyware,app.propertyware.com,high,homepage_fetch,0,100
4degrees.com,appfolio,fdre.appfolio.com,high,homepage_fetch,1,400
4elementspm.com,appfolio,fourelements.appfolio.com,high,homepage_fetch,1,100
4rentorlando.com,appfolio,realsource.appfolio.com,high,homepage_fetch,1,0
4rentproperties.net,appfolio,fourrentproperties.appfolio.com,high,homepage_fetch,1,200
4renttallahassee.com,appfolio,renttallahassee.appfolio.com,high,homepage_fetch,1,100
4seasonsexperts.com,doorloop,app.doorloop.com,high,homepage_fetch,0,100
4sightpm.com,unknown,,low,not_found,0,200
4tenrealestate.com,appfolio,four10rentals.appfolio.com,high,secondary_page:/tenants/,1,200
4thavenuepropertymanagement.com,unknown,,low,not_found,0,100
4thdps.com,appfolio,fdps.appfolio.com,high,homepage_fetch,1,500
518renter.com,appfolio,realcapitalgroup.appfolio.com,low,homepage_fetch,0,200
534rent.net,appfolio,,high,homepage_fetch,0,200
540rentals.com,buildium,eliterentalsolutions.managebuilding.com,high,homepage_fetch,0,100
541properties.com,appfolio,therentalshop.appfolio.com,high,homepage_fetch,1,0
541propertymgmt.com,appfolio,,high,homepage_fetch,0,0
559pmc.com,unknown,,low,not_found,0,200
564rent.com,appfolio,harrisburgpmg.appfolio.com,high,homepage_fetch,1,500
5pointspm.com,buildium,5pointspm.managebuilding.com,high,homepage_fetch,0,300
5rsuites.com,guesty,,high,secondary_page:/about/,0,200
5stardelaware.com,buildium,5stardelaware.managebuilding.com,high,secondary_page:/exisiting-tenants-owners/,0,100
5starpropertymanage.com,buildium,5starpropertymanage.managebuilding.com,high,homepage_fetch,0,500
5starres.com,unknown,,low,not_found,0,100
607pm.com,appfolio,pm607.appfolio.com,low,secondary_page:/tenants/,0,100
6starcsra.com,buildium,6starpropertymanagement.managebuilding.com,high,secondary_page:/owner_services,0,100
716-pm.com,buildium,716propertymanagement.managebuilding.com,high,homepage_fetch,0,100
716renter.com,appfolio,realcapitalgroup.appfolio.com,low,homepage_fetch,0,100
719rent.com,appfolio,rpmco001.appfolio.com,low,homepage_fetch,0,300
757rentalhomes.com,unknown,,low,not_found,0,100
764theagency.com,unknown,,low,not_found,0,100
7gpropertymanagement.com,appfolio,,high,homepage_fetch,0,100
7hillspropertymanagement.com,appfolio,sevenhillspm.appfolio.com,high,secondary_page:/tenants/,1,200
7rent.com,appfolio,sevenrent.appfolio.com,high,homepage_fetch,1,200
802pm.com,unknown,,low,not_found,0,100
806propertymanagement.com,appfolio,mcguirere.appfolio.com,low,homepage_fetch,0,100
816propertymanagement.com,unknown,,low,not_found,0,100
8321111.com,unknown,,low,not_found,0,200
855manager.com,unknown,,low,not_found,0,200
887rent.com,appfolio,,high,homepage_fetch,0,100
899-rent.com,propertyware,app.propertyware.com,high,homepage_fetch,0,100
901res.com,appfolio,res901.appfolio.com,high,homepage_fetch,1,300
